interval,inventory,trade,temporary_cost,permanent_cost,risk_penalty,total_objective_cost
0,99999.99999999999,0.0,0.0,0.0,3.9999999999999987,3.9999999999999987
1,92775.5236055448,7224.476394455181,5.2193059174040135,0.0,3.4429191121132003,8.662225029517213
2,85922.27302270454,6853.2505828402645,4.696704355120042,0.0,2.9530548005552726,7.649759155675315
3,79412.82611026193,6509.4469124426105,4.237289910590863,0.0,2.5225587803274796,6.759848690918343
4,73221.13640014736,6191.689710114573,3.8337021466338683,0.0,2.1445339262915937,5.978236072925462
5,67322.42887683329,5898.707523314064,3.479475044560194,0.0,1.812923771950511,5.292398816510705
6,61693.10084423432,5629.328032598969,3.1689334098604576,0.0,1.5224154767107463,4.691348886571204
7,56310.62748344853,5382.4733607857925,2.8971019479568705,0.0,1.2683547070318837,4.165456654988754
8,51153.47172344467,5157.155760003858,2.659625553294097,0.0,1.0466710677445015,3.7062966210385984
9,46200.99806405817,4952.473659386502,2.452699534691713,0.0,0.8538128888460428,3.3065124235377557
10,41433.39000647274,4767.6080575854285,2.27300865907535,0.0,0.6866903229713902,2.9596989820467403
11,36831.57076079967,4601.819245673076,2.1176740369847113,0.0,0.5426258418831172,2.6602998788678285
12,32377.126913479122,4454.443847320545,1.9842069988931852,0.0,0.41931133886861366,2.403518337761799
13,28052.23474907138,4324.892164407742,1.870469223375548,0.0,0.31477114976680315,2.185240373142351
14,23839.58893162701,4212.645817444369,1.7746384783231532,0.0,0.22733040017158124,2.0019688784947345
15,19722.33326026618,4117.255671360832,1.6951794263352933,0.0,0.15558817169160064,1.8507675980268938
16,15683.993221897204,4038.340038368975,1.6308190265493934,0.0,0.09839505735380699,1.7292140839032004
17,11708.41007119524,3975.5831507019648,1.580526138814536,0.0,0.05483474655810645,1.6353608853726425
18,7779.676174073134,3928.733897122106,1.543495003439625,0.0,0.024209344549376476,1.5677043479890016
19,3882.0713559320343,3897.6048181410993,1.519132331839671,0.0,0.006028191205019193,1.5251605230446903
20,0.0,3882.0713559320343,1.5070478012547983,0.0,0.0,1.5070478012547983
