quantile,mean,std,count
1,0.003829098872520924,0.04435459523339554,10285
2,0.003624478964326189,0.04160471718001323,10285
3,0.00373922281976114,0.04226257999777585,10285
4,0.003852832097252345,0.04204639275827764,10285
5,0.0038732190836521852,0.04214261628341638,10285
6,0.0041044761343382455,0.042390989276819814,8228
7,0.004441974713714476,0.04347276144074964,10285
8,0.004154416711210922,0.04291778647289744,10285
9,0.0040718738992636914,0.04363890332423504,10285
10,0.004078298504962681,0.04408156890976708,10285
