date,net_exposure
2018-02-14,4.163336342344337e-17
2018-02-20,6.938893903907228e-18
2018-02-23,2.42861286636753e-17
2018-02-26,-4.163336342344337e-17
2018-03-06,1.3877787807814457e-17
2018-03-23,3.469446951953614e-17
2018-03-26,-2.0816681711721685e-17
2018-04-05,-3.469446951953614e-18
2018-04-17,2.42861286636753e-17
2018-04-20,-2.0816681711721685e-17
2018-04-23,3.469446951953614e-17
2018-04-24,4.85722573273506e-17
2018-05-07,0.0
2018-05-08,6.938893903907228e-17
2018-05-10,1.734723475976807e-17
2018-05-11,4.163336342344337e-17
2018-05-14,-1.0408340855860843e-17
2018-05-22,1.734723475976807e-17
2018-05-23,-1.3877787807814457e-17
2018-05-31,6.938893903907228e-18
2018-06-04,3.122502256758253e-17
2018-06-05,2.7755575615628914e-17
2018-06-06,1.734723475976807e-17
2018-06-07,6.938893903907228e-18
2018-06-19,3.469446951953614e-17
2018-06-20,6.938893903907228e-18
2018-06-21,-2.7755575615628914e-17
2018-07-02,3.469446951953614e-17
2018-07-26,-2.0816681711721685e-17
2018-08-02,6.938893903907228e-18
2018-08-03,-2.0816681711721685e-17
2018-08-13,2.7755575615628914e-17
2018-08-14,-3.122502256758253e-17
2018-08-15,-2.0816681711721685e-17
2018-08-16,2.42861286636753e-17
2018-08-17,0.0
2018-08-20,1.3877787807814457e-17
2018-08-21,-1.3877787807814457e-17
2018-08-22,0.0
2018-08-30,0.0
2018-08-31,-6.245004513516506e-17
2018-09-05,-5.551115123125783e-17
2018-09-10,-4.163336342344337e-17
2018-10-12,1.3877787807814457e-17
2018-10-19,0.0
2018-10-26,-1.3877787807814457e-17
2018-10-31,-8.326672684688674e-17
2018-11-15,-2.7755575615628914e-17
2018-11-16,0.0
2018-11-19,3.8163916471489756e-17
2018-11-20,1.0408340855860843e-17
2018-11-26,-2.7755575615628914e-17
2018-11-27,-2.0816681711721685e-17
2018-12-04,-4.5102810375396984e-17
2018-12-13,-2.42861286636753e-17
2018-12-14,2.42861286636753e-17
2018-12-27,6.938893903907228e-18
2019-01-11,0.0
2019-01-18,0.0
2019-01-22,-3.469446951953614e-18
2019-02-04,-1.0408340855860843e-17
2019-02-05,0.0
2019-02-19,6.938893903907228e-18
2019-02-20,0.0
2019-02-22,-2.7755575615628914e-17
2019-02-25,-5.551115123125783e-17
2019-03-20,-6.938893903907228e-18
2019-03-21,-6.938893903907228e-18
2019-04-08,2.0816681711721685e-17
2019-04-09,4.5102810375396984e-17
2019-04-10,3.8163916471489756e-17
2019-04-22,2.0816681711721685e-17
2019-04-24,1.0408340855860843e-17
2019-04-26,0.0
2019-04-29,6.938893903907228e-18
2019-05-02,-2.0816681711721685e-17
2019-05-03,-6.938893903907228e-18
2019-05-17,3.469446951953614e-18
2019-05-20,0.0
2019-05-21,2.7755575615628914e-17
2019-05-22,3.469446951953614e-17
2019-05-23,0.0
2019-05-24,-1.3877787807814457e-17
2019-05-28,-5.551115123125783e-17
2019-06-10,2.42861286636753e-17
2019-06-11,-2.0816681711721685e-17
2019-07-12,3.469446951953614e-18
2019-07-18,1.3877787807814457e-17
2019-07-19,1.0408340855860843e-17
2019-07-25,4.85722573273506e-17
2019-08-05,0.0
2019-08-06,-3.469446951953614e-18
2019-08-07,-1.734723475976807e-17
2019-08-08,-3.469446951953614e-18
2019-09-10,1.0408340855860843e-17
2019-09-11,-2.0816681711721685e-17
2019-09-12,2.7755575615628914e-17
2019-09-13,-1.0408340855860843e-17
2019-09-16,3.8163916471489756e-17
2019-09-17,1.734723475976807e-17
2019-09-27,3.469446951953614e-18
2019-09-30,-3.8163916471489756e-17
2019-10-01,1.734723475976807e-17
2019-10-04,-2.0816681711721685e-17
2019-10-08,0.0
2019-10-09,2.7755575615628914e-17
2019-10-17,-1.3877787807814457e-17
2019-10-25,2.7755575615628914e-17
2019-11-01,0.0
2019-11-05,6.938893903907228e-18
2019-11-08,-4.163336342344337e-17
2019-11-11,-1.3877787807814457e-17
2019-11-12,2.7755575615628914e-17
2019-11-15,1.1102230246251565e-16
2019-11-21,-1.3877787807814457e-17
2019-11-22,4.163336342344337e-17
2019-11-25,3.469446951953614e-17
2019-11-29,0.0
2019-12-02,1.734723475976807e-17
2019-12-03,-5.204170427930421e-17
2019-12-11,-2.7755575615628914e-17
2019-12-13,0.0
2019-12-16,0.0
2019-12-26,3.8163916471489756e-17
2019-12-27,2.42861286636753e-17
2020-01-06,-4.85722573273506e-17
2020-01-07,6.938893903907228e-18
2020-01-08,5.898059818321144e-17
2020-01-09,1.0408340855860843e-17
2020-01-10,-3.122502256758253e-17
2020-01-23,1.3877787807814457e-17
2020-01-24,0.0
2020-01-31,3.469446951953614e-17
2020-02-03,6.938893903907228e-18
2020-02-04,3.469446951953614e-18
2020-02-05,3.469446951953614e-17
2020-02-13,-2.7755575615628914e-17
2020-02-14,2.7755575615628914e-17
2020-02-24,0.0
2020-03-09,3.469446951953614e-17
2020-03-10,1.3877787807814457e-17
2020-03-11,-8.326672684688674e-17
2020-03-12,0.0
2020-03-13,-4.163336342344337e-17
2020-03-16,-8.326672684688674e-17
2020-03-23,1.3877787807814457e-17
2020-04-01,1.3877787807814457e-17
2020-04-22,3.469446951953614e-17
2020-05-04,-1.3877787807814457e-17
2020-05-05,-1.3877787807814457e-17
2020-05-06,1.734723475976807e-17
2020-05-11,-3.469446951953614e-17
2020-05-12,1.3877787807814457e-17
2020-05-13,-1.3877787807814457e-17
2020-05-14,2.42861286636753e-17
2020-05-26,6.938893903907228e-18
2020-05-27,-2.0816681711721685e-17
2020-06-18,-2.7755575615628914e-17
2020-06-19,1.3877787807814457e-17
2020-06-22,1.3877787807814457e-17
2020-06-23,0.0
2020-06-24,2.7755575615628914e-17
2020-06-25,-2.0816681711721685e-17
2020-06-29,5.204170427930421e-17
2020-06-30,-3.469446951953614e-18
2020-07-01,6.938893903907228e-17
2020-07-10,-5.551115123125783e-17
2020-07-30,-2.0816681711721685e-17
2020-08-06,-6.938893903907228e-18
2020-08-07,4.5102810375396984e-17
2020-08-10,0.0
2020-08-17,-3.469446951953614e-18
2020-08-24,-4.163336342344337e-17
2020-08-25,-2.7755575615628914e-17
2020-08-26,1.3877787807814457e-17
2020-08-27,1.3877787807814457e-17
2020-08-28,-1.3877787807814457e-17
2020-08-31,4.163336342344337e-17
2020-09-01,1.3877787807814457e-17
2020-09-02,1.3877787807814457e-17
2020-09-14,1.3877787807814457e-17
2020-09-15,-1.0408340855860843e-17
2020-09-18,1.1796119636642288e-16
2020-09-21,-3.469446951953614e-17
2020-09-23,3.469446951953614e-17
2020-10-07,-2.7755575615628914e-17
2020-10-19,-6.938893903907228e-18
2020-10-27,-6.938893903907228e-18
2020-11-16,-6.938893903907228e-18
2020-11-18,-3.469446951953614e-17
2020-11-19,6.938893903907228e-18
2020-11-24,6.938893903907228e-18
2020-11-25,-1.3877787807814457e-17
2020-12-01,1.3877787807814457e-17
2020-12-21,6.938893903907228e-18
2020-12-31,-3.469446951953614e-17
2021-01-11,1.3877787807814457e-17
2021-01-12,1.3877787807814457e-17
2021-01-13,-2.7755575615628914e-17
2021-01-14,6.938893903907228e-17
2021-01-15,-2.7755575615628914e-17
2021-01-19,1.3877787807814457e-17
2021-01-27,-1.3877787807814457e-17
2021-02-09,-1.3877787807814457e-17
2021-02-10,0.0
2021-02-11,5.551115123125783e-17
2021-02-12,-6.938893903907228e-17
2021-02-16,0.0
2021-02-17,3.469446951953614e-17
2021-02-18,-3.8163916471489756e-17
2021-02-23,-6.938893903907228e-18
2021-02-26,0.0
2021-03-01,2.7755575615628914e-17
2021-03-02,-1.3877787807814457e-17
2021-03-03,1.3877787807814457e-17
2021-03-04,1.3877787807814457e-17
2021-03-05,0.0
2021-03-08,-1.3877787807814457e-17
2021-03-09,2.7755575615628914e-17
2021-03-10,0.0
2021-03-11,-2.7755575615628914e-17
2021-03-18,-3.469446951953614e-18
2021-04-09,-3.469446951953614e-18
