fold,train_start,train_end,test_start,test_end,train_rank_ic,test_rank_ic,test_count
1,2018-04-02,2021-03-26,2021-04-02,2021-10-02,0.03546511524164777,0.007705286839145107,127
2,2018-10-02,2021-09-27,2021-10-02,2022-04-02,0.0216640348749207,-0.00037738905085843915,126
3,2019-04-02,2022-03-28,2022-04-02,2022-10-02,0.00949456929223943,0.05031102040816327,125
4,2019-10-02,2022-09-26,2022-10-02,2023-04-02,0.014753613345716083,-0.011172244897959182,125
5,2020-04-02,2023-03-27,2023-04-02,2023-10-02,0.013449686132775347,-0.0025210560414642065,126
6,2020-10-02,2023-09-25,2023-10-02,2024-04-02,0.007854826843955203,-0.0068715581470683434,126
7,2021-04-02,2024-03-26,2024-04-02,2024-10-02,0.006042312925170067,0.032919323979591825,128
8,2021-10-02,2024-09-25,2024-10-02,2025-04-02,0.010499305196043703,-0.036746938775510204,125
9,2022-04-02,2025-03-26,2025-04-02,2025-10-02,0.0050188509138595185,0.012408806042101877,127
10,2022-10-02,2025-09-25,2025-10-02,2026-04-02,-0.002716495689184765,0.03887512147716229,126
11,2023-04-02,2026-03-26,2026-04-02,2026-06-05,0.0044003055767761635,0.037678004535147386,45
