date,AAPL,ABBV,ABT,ACN,AMD,AMGN,AMZN,AVGO,BAC,BRK-B,CAT,COST,CRM,CSCO,CVX,DIS,GE,GOOG,GOOGL,HD,IBM,INTU,ISRG,JNJ,JPM,KO,LIN,LLY,MA,MCD,META,MRK,MSFT,NFLX,NKE,NOW,NVDA,ORCL,PEP,PG,PM,QCOM,TMO,TXN,UNH,V,VZ,WMT,XOM
2018-04-17,0.0,-0.02,0.0,0.0,-0.04,0.0,0.0,-0.04,0.04,0.04,-0.02,0.0,0.0,-0.06000000000000001,-0.02,0.04,0.04,0.0,0.0,0.08,-0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.04,-0.04,-0.04,0.0,-0.1,0.08,0.0,-0.06000000000000001,0.0,0.02,0.02,0.0,0.0,-0.02,0.0,0.02,0.0,0.0,0.06000000000000001,-0.02
2018-04-20,0.0,0.0,0.0,0.0,-0.04,0.0,-0.04,-0.04,0.08,0.0,-0.04,-0.04,0.0,-0.02,0.0,0.04,-0.04,-0.02,0.0,0.02,0.04,-0.02,-0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.04,0.0,-0.02,0.0,-0.1,0.08,0.0,-0.04,0.0,0.04,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0
2018-04-23,0.02,0.0,0.0,0.0,-0.04,0.0,-0.06000000000000001,-0.02,0.06000000000000001,0.0,-0.04,-0.04,0.0,0.0,0.0,0.02,-0.06000000000000001,-0.02,0.0,0.0,0.06000000000000001,-0.02,-0.06000000000000001,0.04,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,-0.1,0.06000000000000001,0.0,-0.02,0.0,0.06000000000000001,0.02,0.04,0.04,0.0,0.0,-0.02,0.0,0.0,0.0,0.0
2018-04-24,0.02,0.0,0.0,0.0,-0.02,0.0,-0.08,0.02,0.04,0.0,-0.02,-0.04,0.0,0.0,0.0,0.0,-0.08,-0.02,0.0,0.0,0.08,-0.04,-0.08,0.04,0.02,0.0,0.0,0.0,0.0,0.02,0.0,-0.02,0.0,-0.08,0.04,0.0,0.0,0.0,0.06000000000000001,0.04,0.06000000000000001,0.06000000000000001,0.0,0.0,-0.02,0.0,0.0,0.0,0.0
2018-04-30,0.02,-0.04,0.0,0.0,-0.04,0.0,-0.02,0.06000000000000001,-0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,-0.06000000000000001,0.04,0.02,-0.06000000000000001,0.04,-0.02,-0.02,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,-0.02,-0.04,0.0,0.08,-0.06000000000000001,0.04,0.02,0.0,0.0,0.02,0.06000000000000001,0.06000000000000001,0.0,0.0,0.0,0.0,-0.06000000000000001,0.0,0.0
2018-05-07,-0.06000000000000001,-0.04,0.0,0.0,-0.06000000000000001,0.06000000000000001,-0.04,0.0,0.02,0.02,0.02,0.0,-0.02,0.0,0.0,0.0,0.04,0.02,0.02,-0.02,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.04,-0.06000000000000001,-0.04,-0.06000000000000001,0.04,0.0,0.0,0.0,-0.02,-0.04,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.04,0.0,0.06000000000000001
2018-05-08,-0.08,-0.04,0.0,0.0,-0.06000000000000001,0.08,-0.04,0.0,0.02,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.06000000000000001,-0.08,-0.02,-0.04,0.06000000000000001,0.0,0.0,0.0,-0.04,-0.06000000000000001,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.06000000000000001,0.02,0.06000000000000001
2018-05-10,-0.08,0.02,0.0,0.0,-0.04,0.06000000000000001,-0.02,0.0,0.02,0.0,-0.02,0.0,-0.04,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.06000000000000001,-0.08,-0.02,0.0,0.04,0.0,0.0,0.02,-0.08,-0.1,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.08,0.04,0.02
2018-05-11,-0.06000000000000001,0.02,0.0,0.0,-0.06000000000000001,0.04,0.0,-0.02,0.02,0.0,-0.02,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,-0.06000000000000001,-0.02,0.0,0.06000000000000001,0.0,0.0,0.02,-0.08,-0.1,0.0,0.06000000000000001,0.0,0.0,-0.02,0.0,0.0,0.04,0.0,0.1,0.06000000000000001,0.0
2018-05-14,-0.04,0.02,0.0,0.0,-0.06000000000000001,0.02,0.0,-0.04,0.0,0.0,-0.04,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.02,-0.04,0.02,-0.02,0.06000000000000001,0.0,0.0,0.02,-0.06000000000000001,-0.1,0.0,0.08,0.0,0.02,-0.02,0.0,0.0,0.04,0.0,0.08,0.08,-0.02
